open_price,close_price,high_price,low_price,volume,verdict
264.15,264.94,260.8,270.2,3179984,Buy
116.71,116.53,115.6,117.7,3500400,Buy
108.18,110.46,109.1,108.6,3347603,Buy
335.36,337.05,334.2,339.0,1313886,Sell
377.16,379.44,380.7,376.0,1051011,Sell
113.61,113.99,112.8,114.6,3130234,Buy
407.24,403.44,409.2,401.6,1050700,Sell
148.1,144.54,143.2,151.7,3233141,Buy
384.42,386.08,388.0,382.4,1052343,Buy
244.38,243.99,240.3,250.3,2210563,Buy
195.07,192.8,190.5,199.9,3500400,Buy
134.1,131.43,130.2,136.8,1698946,Buy
400.19,398.56,402.9,395.8,1065875,Buy
341.7,345.34,342.6,344.9,1346063,Sell
263.62,264.85,260.9,269.2,1056445,Buy
253.41,254.76,250.8,258.9,1192327,Buy
355.04,359.74,358.9,355.9,2095064,Buy
341.55,347.15,345.2,343.6,1107004,Buy
410.54,405.31,411.8,404.0,1050700,Buy
232.26,232.98,229.5,238.0,3400267,Buy
362.05,365.53,364.8,362.8,1640452,Buy
341.86,346.73,344.5,344.4,2577939,Buy
140.47,137.67,137.2,142.4,1053169,Buy
132.17,129.13,128.3,134.4,1060108,Sell
343.4,350.13,348.8,344.6,1110323,Buy
231.85,230.64,226.7,238.2,2169971,Buy
410.4,405.25,411.7,403.9,1088269,Buy
108.19,110.46,109.1,108.6,3500400,Buy
364.51,368.36,368.4,364.4,1078104,Buy
247.85,248.18,243.9,254.5,1596402,Buy
119.59,118.55,117.4,121.3,2022942,Buy
404.15,401.45,406.5,399.2,1078062,Buy
143.06,139.78,139.1,145.3,1050932,Buy
108.09,110.41,109.0,108.5,2055137,Buy
223.24,222.16,219.5,228.1,1164482,Buy
108.97,110.84,109.5,109.5,1471759,Sell
248.29,246.44,241.8,255.7,1652926,Sell
202.76,198.54,194.8,209.8,1896285,Sell
404.95,402.0,407.3,399.6,1050787,Buy
229.4,231.51,228.9,233.4,1160002,Buy
193.59,192.11,190.0,198.0,1856887,Buy
386.18,387.37,389.7,383.6,1050700,Sell
330.56,335.27,332.6,333.7,1782694,Buy
179.97,175.53,175.0,183.0,1051558,Buy
410.6,405.33,411.9,404.1,1050701,Buy
220.46,217.74,214.3,226.7,2143540,Sell
142.74,139.55,138.4,145.6,1068617,Buy
177.55,174.07,171.9,182.6,3275605,Buy
176.21,172.55,171.6,179.6,3172653,Buy
180.59,175.8,174.3,184.8,1050720,Sell
342.86,347.54,345.4,345.2,3404282,Buy
112.43,113.18,112.0,113.2,1155638,Buy
216.01,213.35,209.1,223.0,2614258,Sell
257.92,259.79,257.0,262.3,1063829,Buy
351.13,354.12,352.7,352.8,1050711,Sell
199.2,196.83,194.5,204.2,3406393,Buy
200.11,198.26,195.4,205.2,1051015,Buy
345.07,348.4,346.1,347.8,2908056,Sell
145.88,142.93,142.1,148.4,2663818,Buy
300.15,302.77,298.8,305.2,1776572,Sell
153.73,149.17,147.1,158.5,1482301,Sell
330.05,335.0,332.2,333.1,1194086,Buy
234.47,234.36,231.5,239.2,1051057,Buy
302.76,306.3,303.2,306.9,1050834,Buy
352.64,357.41,356.2,353.8,1307617,Buy
269.46,271.17,266.6,275.8,1051832,Sell
369.79,373.82,374.9,368.6,1057840,Buy
254.15,256.33,253.3,258.7,1050703,Buy
409.35,404.73,411.0,403.2,1050700,Buy
108.71,110.72,109.4,109.2,2861195,Buy
120.44,119.34,118.1,122.3,1739187,Buy
180.93,178.03,175.3,186.4,3245595,Buy
398.88,397.44,401.5,394.8,1050728,Sell
127.47,126.14,125.3,129.2,1321298,Buy
299.77,302.87,300.7,302.8,1050702,Buy
199.21,196.43,194.4,203.6,1122708,Buy
391.24,391.48,394.2,388.5,1723649,Sell
129.36,127.01,125.8,131.8,3115816,Buy
108.07,110.41,109.0,108.5,3500400,Buy
108.69,110.73,109.4,109.2,1092420,Buy
118.83,118.05,116.9,120.3,2546120,Buy
309.97,314.51,312.2,312.6,1052551,Buy
112.18,112.91,111.8,113.0,1192832,Buy
393.44,393.34,396.5,390.2,1725281,Buy
305.53,309.23,305.7,309.9,1147603,Buy
400.65,398.84,403.2,396.3,1050709,Sell
375.48,378.31,378.6,375.3,3441598,Buy
381.43,383.92,385.4,379.9,1192210,Buy
121.46,120.35,119.4,122.9,1942166,Buy
108.06,110.41,109.0,108.5,3027346,Buy
397.62,396.4,400.3,393.7,1197664,Sell
407.65,403.68,409.4,402.0,1066083,Sell
358.02,361.49,359.8,360.0,3457270,Sell
269.37,270.76,267.1,274.6,1055132,Buy
190.93,187.13,185.4,195.2,1090020,Buy
237.59,234.77,231.9,243.0,1050920,Sell
139.8,136.37,135.5,142.2,1052464,Buy
305.55,311.56,309.3,308.0,1051116,Buy
251.45,253.56,251.7,254.5,1050760,Buy
147.99,144.69,143.6,151.0,2334332,Buy
406.95,403.39,409.1,401.3,1050894,Buy
258.9,258.9,256.0,263.9,1050706,Sell
125.77,124.16,123.3,127.5,3045549,Buy
271.53,272.05,269.2,275.7,1050752,Sell
253.26,254.55,251.2,258.4,1051459,Buy
394.98,394.94,398.3,391.6,1050793,Buy
232.11,231.12,229.0,236.3,1303799,Buy
403.44,400.84,405.7,398.6,1261648,Sell
108.38,110.55,109.2,108.8,3237165,Buy
395.79,395.05,398.6,392.2,1054553,Sell
358.53,362.41,362.1,358.9,1050702,Buy
392.13,392.08,395.2,389.0,1050871,Sell
240.06,240.51,237.2,245.7,3492248,Buy
109.45,111.16,109.9,110.0,2832612,Buy
351.05,355.81,354.5,352.3,1068590,Buy
133.89,131.24,130.1,136.5,1179751,Buy
134.09,131.65,130.2,137.0,2595738,Buy
203.41,199.66,197.6,208.2,1050836,Sell
193.44,190.74,188.5,198.2,1885815,Buy
229.66,227.57,222.9,237.0,1426331,Sell
355.38,359.38,359.0,355.7,1068925,Buy
268.05,271.41,268.9,271.4,1100430,Buy
325.14,329.88,326.1,329.4,2499020,Buy
247.36,247.53,242.7,254.3,1366137,Buy
114.72,114.92,113.8,115.8,2964875,Buy
110.69,111.89,110.6,111.4,2933256,Sell
274.89,278.48,275.2,279.4,1084988,Buy
123.08,121.61,120.7,124.7,3272488,Buy
217.13,215.72,212.7,222.6,1480654,Buy
132.88,130.08,129.6,134.6,1370445,Buy
291.12,293.89,288.0,298.5,3247193,Sell
142.63,138.72,137.4,146.0,2626356,Buy
300.39,303.6,300.2,305.1,1195760,Buy
358.22,362.78,361.5,359.7,2129999,Buy
126.19,124.59,123.6,128.0,3500400,Buy
230.94,230.38,228.6,234.6,1050708,Buy
204.01,201.11,197.5,210.4,3038629,Buy
181.98,179.04,177.4,186.0,1052430,Buy
160.3,156.52,155.2,163.9,2176992,Buy
388.06,389.18,391.7,385.5,1858431,Buy
139.32,136.54,135.2,142.3,1153648,Buy
235.22,236.53,233.8,239.9,2025074,Buy
109.07,110.93,109.6,109.5,2396347,Buy
359.86,363.79,363.8,359.9,1935473,Buy
267.6,270.7,267.6,272.1,1362107,Buy
111.4,112.42,111.2,112.2,2171011,Buy
372.91,375.5,376.5,371.9,2617894,Buy
118.41,117.67,116.7,119.8,2976222,Buy
199.88,196.82,193.6,206.2,3391376,Buy
215.14,212.43,208.7,221.9,1245030,Sell
122.68,121.45,120.5,124.2,1169852,Buy
109.87,111.4,110.1,110.5,1936933,Buy
140.82,137.71,136.6,143.7,3426289,Buy
408.28,404.1,410.0,402.4,1075236,Sell
394.59,393.85,397.0,391.5,1070772,Sell
388.78,389.22,391.9,386.0,1050704,Sell
371.68,373.98,374.2,371.6,1051198,Sell
251.98,254.88,251.4,256.8,1069799,Buy
366.97,370.15,370.1,367.0,1202280,Buy
393.22,393.15,396.2,390.2,1053467,Sell
125.83,123.46,122.3,128.1,2637278,Sell
131.95,129.37,128.6,133.8,1173635,Buy
403.15,400.94,405.8,398.3,1095863,Buy
408.95,404.47,410.5,402.9,2585125,Sell
410.26,405.19,411.7,403.8,1050973,Buy
143.65,140.73,139.6,146.5,1341323,Buy
241.09,239.72,236.1,247.3,2896092,Sell
256.84,258.12,253.1,264.2,3500400,Buy
314.47,319.29,317.6,316.7,1186759,Buy
111.74,112.55,111.3,112.6,1338710,Sell
410.0,405.06,411.5,403.6,1051392,Buy
287.72,290.44,288.1,291.1,2242469,Buy
404.26,401.42,406.7,399.0,1050700,Sell
316.57,320.16,317.2,320.2,1054989,Sell
344.68,348.82,347.4,346.6,2703483,Buy
375.92,378.83,380.1,374.6,1050700,Buy
328.42,332.65,328.5,333.2,1064747,Sell
161.4,157.68,156.6,164.7,2217602,Buy
337.18,341.3,338.7,340.1,2487462,Buy
259.44,260.34,257.1,264.4,2160489,Buy
110.22,111.68,110.5,110.8,1294856,Buy
291.25,292.88,289.1,296.4,1541129,Sell
382.13,383.95,385.6,380.4,1054487,Buy
286.29,289.5,284.8,292.1,1441045,Buy
267.35,269.04,266.5,271.5,1067665,Buy
153.94,150.43,149.1,157.6,3349310,Buy
313.93,317.06,314.4,317.2,1050707,Sell
294.55,296.3,292.8,299.4,1050892,Sell
223.06,222.26,220.1,227.3,1056922,Buy
109.1,110.96,109.7,109.6,1316837,Buy
183.78,179.03,176.2,189.7,1440248,Sell
124.9,123.3,122.5,126.4,3381368,Buy
113.37,113.77,112.6,114.4,3488905,Buy
399.28,397.97,402.1,395.2,1060173,Buy
183.41,181.18,179.3,187.8,1328459,Buy
110.98,112.11,110.9,111.6,1389693,Buy
408.59,404.35,410.4,402.6,1052128,Buy
