open_price,close_price,high_price,low_price,volume,verdict
369.25,371.88,371.8,369.3,1057896,Sell
201.33,198.81,196.9,205.7,1064212,Buy
366.02,369.68,369.9,365.7,1051948,Buy
301.5,306.04,303.0,305.5,1119988,Buy
410.46,405.27,411.8,404.0,1050700,Sell
118.95,118.16,117.0,120.6,3358013,Buy
157.76,154.03,152.3,161.9,3438495,Buy
148.77,144.45,143.3,152.0,1056255,Sell
156.57,152.75,151.3,160.3,2192285,Buy
113.98,114.34,113.2,114.9,1370904,Buy
140.32,136.61,135.3,143.6,1051460,Sell
171.08,167.7,166.4,174.9,1594712,Buy
112.56,113.31,112.1,113.4,1111658,Buy
307.99,310.15,306.4,312.7,1525716,Sell
109.96,111.48,110.2,110.6,2884324,Buy
166.46,162.39,160.6,170.7,1122953,Buy
206.56,205.17,203.3,210.8,1104807,Buy
108.28,110.5,109.1,108.7,3446044,Buy
213.86,211.73,210.8,216.6,1050700,Buy
273.54,274.88,273.1,276.9,1051188,Buy
357.45,362.13,361.9,357.8,1239135,Buy
324.01,328.35,326.9,325.8,2175987,Buy
109.69,111.3,110.0,110.2,1666258,Buy
376.31,378.5,378.6,376.2,1213419,Sell
272.17,272.44,268.4,278.2,3085244,Sell
388.34,389.02,391.6,385.8,1701550,Sell
131.44,129.53,129.1,132.6,1056889,Buy
129.2,126.78,125.9,131.1,3321287,Buy
238.79,238.22,233.6,245.8,1087336,Sell
108.32,110.53,109.2,108.8,3500400,Buy
410.74,405.38,412.0,404.2,1050736,Sell
300.15,302.77,298.8,305.2,1776572,Sell
109.38,111.13,109.8,109.9,3399660,Buy
108.9,110.82,109.5,109.4,3500400,Buy
396.07,395.32,398.7,392.7,1051366,Sell
108.27,110.5,109.1,108.7,1688918,Buy
299.5,303.33,300.0,303.7,1051179,Buy
384.1,385.39,387.3,382.2,1057932,Sell
185.96,182.39,179.7,191.5,2928765,Buy
129.44,127.87,127.0,131.3,3500400,Buy
170.89,167.31,165.9,174.6,1061407,Buy
305.56,311.06,309.3,307.8,2893127,Buy
355.12,358.92,358.4,355.7,1066942,Buy
276.48,277.32,272.6,283.0,1052064,Sell
393.96,393.58,396.8,390.6,1076824,Sell
126.11,124.61,123.5,128.1,3500400,Buy
296.84,299.88,296.9,300.9,1073088,Buy
233.09,231.12,227.4,239.5,1162678,Sell
368.97,371.45,371.3,369.1,1202136,Sell
257.65,259.25,255.9,262.8,1119795,Buy
363.85,368.11,368.1,363.7,1050841,Buy
222.23,220.96,218.1,227.4,1553269,Buy
216.43,215.14,211.7,222.4,2356655,Buy
110.7,111.96,110.7,111.3,1522909,Buy
111.04,112.2,110.9,111.9,3500400,Buy
292.5,295.12,292.6,296.1,1064843,Buy
114.22,114.36,113.3,115.2,1816522,Buy
195.18,191.58,189.8,199.5,1056786,Buy
114.61,114.76,113.5,115.8,1362156,Buy
309.39,314.35,312.1,312.2,1050701,Buy
116.94,116.37,115.2,118.3,3219263,Buy
261.77,263.37,260.3,266.4,1073984,Buy
136.52,133.59,132.5,139.2,3290317,Buy
364.11,368.59,368.5,364.0,1055970,Buy
313.53,317.67,314.3,317.6,1156653,Buy
207.58,205.07,201.6,213.8,1264685,Buy
406.39,402.92,408.4,400.9,1050800,Sell
186.0,181.78,179.8,190.7,2001810,Buy
213.43,210.92,208.1,218.9,1050705,Sell
197.39,195.08,192.8,202.1,1409976,Buy
202.45,201.72,200.2,205.9,2314799,Buy
